id,title,bibtex_id,url,type,doi,is_relevant,source,year
34,Resources and Conclusions,,https://link.springer.com/chapter/10.1007/978-3-031-16719-5_13,,10.1007/978-3-031-16719-5_13,,springer,2022
35,"Influence of Artificial Intelligence in Higher Education; Impact, Risk and Counter Measure",,https://link.springer.com/chapter/10.1007/978-3-031-33627-0_7,,10.1007/978-3-031-33627-0_7,,springer,2023
36,"Reflections on Automation, Learnability and Expressiveness in Logic-Based Programming Languages",,https://link.springer.com/chapter/10.1007/978-3-031-35254-6_29,,10.1007/978-3-031-35254-6_29,,springer,2023
37,"Prolog: Past, Present, and Future",,https://link.springer.com/chapter/10.1007/978-3-031-35254-6_4,,10.1007/978-3-031-35254-6_4,,springer,2023
38,Large Language Models in the Workplace: A Case Study on Prompt Engineering for Job Type Classification,,https://link.springer.com/chapter/10.1007/978-3-031-35320-8_1,,10.1007/978-3-031-35320-8_1,,springer,2023
39,Philosophical and Social Realm,,https://link.springer.com/chapter/10.1007/978-3-031-35331-4_2,,10.1007/978-3-031-35331-4_2,,springer,2023
40,Automated Program Repair Using Generative Models for Code Infilling,,https://link.springer.com/chapter/10.1007/978-3-031-36272-9_74,,10.1007/978-3-031-36272-9_74,,springer,2023
41,Training Language Models for Programming Feedback Using Automated Repair Tools,,https://link.springer.com/chapter/10.1007/978-3-031-36272-9_79,,10.1007/978-3-031-36272-9_79,,springer,2023
42,Four Interactions Between AI and Education: Broadening Our Perspective on What AI Can Offer Education,,https://link.springer.com/chapter/10.1007/978-3-031-36336-8_1,,10.1007/978-3-031-36336-8_1,,springer,2023
43,A Software Platform for Evaluating Student Essays in Interdisciplinary Learning with Topic Classification Techniques,,https://link.springer.com/chapter/10.1007/978-3-031-36336-8_100,,10.1007/978-3-031-36336-8_100,,springer,2023
44,Empowering Education with LLMs - The Next-Gen Interface and Content Generation,,https://link.springer.com/chapter/10.1007/978-3-031-36336-8_4,,10.1007/978-3-031-36336-8_4,,springer,2023
45,The Future of Humans and Language Models,,https://link.springer.com/chapter/10.1007/978-3-031-37690-0_7,,10.1007/978-3-031-37690-0_7,,springer,2023
46,Analyzing the Innovative Potential of Texts Generated by Large Language Models: An Empirical Evaluation,,https://link.springer.com/chapter/10.1007/978-3-031-39689-2_2,,10.1007/978-3-031-39689-2_2,,springer,2023
47,"Conversational Process Modelling: State of the Art, Applications, and Implications in Practice",,https://link.springer.com/chapter/10.1007/978-3-031-41623-1_19,,10.1007/978-3-031-41623-1_19,,springer,2023
48,Requirements Engineering for Cyber-Physical Products,,https://link.springer.com/chapter/10.1007/978-3-031-42307-9_23,,10.1007/978-3-031-42307-9_23,,springer,2023
49,PapagAI: Automated Feedback for Reflective Essays,,https://link.springer.com/chapter/10.1007/978-3-031-42608-7_16,,10.1007/978-3-031-42608-7_16,,springer,2023
50,"Large Language Model Assisted Software Engineering: Prospects, Challenges, and a Case Study",,https://link.springer.com/chapter/10.1007/978-3-031-46002-9_23,,10.1007/978-3-031-46002-9_23,,springer,2024
51,Generative AI as a Supportive Tool for Scientific Research,,https://link.springer.com/chapter/10.1007/978-3-031-46238-2_1,,10.1007/978-3-031-46238-2_1,,springer,2024
52,The Economics of Generative AI,,https://link.springer.com/chapter/10.1007/978-3-031-46238-2_25,,10.1007/978-3-031-46238-2_25,,springer,2024
53,Comparative Quality Analysis of GPT-Based Multiple Choice Question Generation,,https://link.springer.com/chapter/10.1007/978-3-031-46813-1_29,,10.1007/978-3-031-46813-1_29,,springer,2024
54,Learning Hierarchical Robot Skills Represented by Behavior Trees from Natural Language,,https://link.springer.com/chapter/10.1007/978-3-031-46846-9_20,,10.1007/978-3-031-46846-9_20,,springer,2024
55,State of the Art of Machine Learning,,https://link.springer.com/chapter/10.1007/978-3-031-46990-9_7,,10.1007/978-3-031-46990-9_7,,springer,2024
56,From nCoder to ChatGPT: From Automated Coding to Refining Human Coding,,https://link.springer.com/chapter/10.1007/978-3-031-47014-1_32,,10.1007/978-3-031-47014-1_32,,springer,2023
57,LLMs4OL: Large Language Models for Ontology Learning,,http://dx.doi.org/10.1007/978-3-031-47240-4_22,,10.1007/978-3-031-47240-4_22,,web_of_science,2023
58,Assessing ChatGPT’s Proficiency in CS1-Level Problem Solving,,https://link.springer.com/chapter/10.1007/978-3-031-47372-2_7,,10.1007/978-3-031-47372-2_7,,springer,2024
59,Lost in Transformation: Rediscovering LLM-Generated Campaigns in Social Media,,http://dx.doi.org/10.1007/978-3-031-47896-3_6,,10.1007/978-3-031-47896-3_6,,web_of_science,2023
60,How Can Natural Language Processing and Generative AI Address Grand Challenges of Quantitative User Personas?,,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_14,,10.1007/978-3-031-48057-7_14,,springer,2023
61,Acceptance of Generative AI in the Creative Industry: Examining the Role of AI Anxiety in the UTAUT2 Model,,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_18,,10.1007/978-3-031-48057-7_18,,springer,2023
62,Demystifying the Impact of ChatGPT on Teaching and Learning,,https://link.springer.com/chapter/10.1007/978-3-031-48536-7_7,,10.1007/978-3-031-48536-7_7,,springer,2024
63,Adaptation of Enterprise Modeling Methods for Large Language Models,,https://link.springer.com/chapter/10.1007/978-3-031-48583-1_1,,10.1007/978-3-031-48583-1_1,,springer,2024
64,Analyzing Scrum Team Impediments Using NLP,,https://link.springer.com/chapter/10.1007/978-3-031-48639-5_4,,10.1007/978-3-031-48639-5_4,,"springer, web_of_science",2023
65,KG-CTG: Citation Generation Through Knowledge Graph-Guided Large Language Models,,https://link.springer.com/chapter/10.1007/978-3-031-49601-1_3,,10.1007/978-3-031-49601-1_3,,springer,2023
66,Large Language Model for Geometric Algebra: A Preliminary Attempt,,https://link.springer.com/chapter/10.1007/978-3-031-50078-7_19,,10.1007/978-3-031-50078-7_19,,springer,2024
67,Academic Integrity in the Face of Generative Language Models,,https://link.springer.com/chapter/10.1007/978-3-031-50215-6_5,,10.1007/978-3-031-50215-6_5,,springer,2024
68,Performance of Large Language Models in a Computer Science Degree Program,,https://link.springer.com/chapter/10.1007/978-3-031-50485-3_40,,10.1007/978-3-031-50485-3_40,,springer,2024
69,Bridging the Programming Skill Gap with ChatGPT: A Machine Learning Project with Business Students,,https://link.springer.com/chapter/10.1007/978-3-031-50485-3_42,,10.1007/978-3-031-50485-3_42,,springer,2024
70,Developments in Artificial Intelligence and Linguistics,,https://link.springer.com/chapter/10.1007/978-3-031-51004-5_2,,10.1007/978-3-031-51004-5_2,,springer,2024
71,The Current Era of Chatbots,,https://link.springer.com/chapter/10.1007/978-3-031-51004-5_4,,10.1007/978-3-031-51004-5_4,,springer,2024
72,Chatbots as Villains: The Antisocial Uses of AI,,https://link.springer.com/chapter/10.1007/978-3-031-51004-5_7,,10.1007/978-3-031-51004-5_7,,springer,2024
73,Application of Large Language Models to DDoS Attack Detection,,https://link.springer.com/chapter/10.1007/978-3-031-51630-6_6,,10.1007/978-3-031-51630-6_6,,springer,2024
74,Prof Pi: Using Whatsapp Bots and GPT-4 for Tutoring Mathematics in Underserved Areas,,https://link.springer.com/chapter/10.1007/978-3-031-51849-2_19,,10.1007/978-3-031-51849-2_19,,"springer, springer",2024
75,Automated Interactive Domain-Specific Conversational Agents that Understand Human Dialogs,,https://link.springer.com/chapter/10.1007/978-3-031-52038-9_13,,10.1007/978-3-031-52038-9_13,,springer,2023
76,Artificial Intelligence and Information Literacy: Hazards and Opportunities,,https://link.springer.com/chapter/10.1007/978-3-031-53001-2_5,,10.1007/978-3-031-53001-2_5,,"springer, springer",2024
77,"Large-Language-Models (LLM)-Based AI Chatbots: Architecture, In-Depth Analysis and Their Performance Evaluation",,https://link.springer.com/chapter/10.1007/978-3-031-53085-2_20,,10.1007/978-3-031-53085-2_20,,springer,2024
78,Business and Ethical Concerns in Domestic Conversational Generative AI-Empowered Multi-robot Systems,,https://link.springer.com/chapter/10.1007/978-3-031-53227-6_13,,10.1007/978-3-031-53227-6_13,,springer,2024
79,From GPT-3 to GPT-4: On the Evolving Efficacy of LLMs to Answer Multiple-Choice Questions for Programming Classes in Higher Education,,https://link.springer.com/chapter/10.1007/978-3-031-53656-4_8,,10.1007/978-3-031-53656-4_8,,springer,2024
80,My Perspective,,https://link.springer.com/chapter/10.1007/978-3-031-53747-9_2,,10.1007/978-3-031-53747-9_2,,springer,2024
81,Zero-Shot Translation of Attention Patterns in VQA Models to Natural Language,,http://dx.doi.org/10.1007/978-3-031-54605-1_25,,10.1007/978-3-031-54605-1_25,,web_of_science,2024
82,Anticipating User Needs: Insights from Design Fiction on Conversational Agents for Computational Thinking,,https://link.springer.com/chapter/10.1007/978-3-031-54975-5_12,,10.1007/978-3-031-54975-5_12,,springer,2024
83,Personalized Persuasive Technologies in Health and Wellness: From Theory to Practice,,https://link.springer.com/chapter/10.1007/978-3-031-55109-3_10,,10.1007/978-3-031-55109-3_10,,springer,2024
84,Summary,,https://link.springer.com/chapter/10.1007/978-3-031-55225-0_9,,10.1007/978-3-031-55225-0_9,,springer,2024
85,Value-Based Adoption of ChatGPT in Agile Software Development: A Survey Study of Nordic Software Experts,,https://link.springer.com/chapter/10.1007/978-3-031-55642-5_12,,10.1007/978-3-031-55642-5_12,,springer,2024
86,1 \(^{st}\) Workshop on Information Retrieval for Understudied Users (IR4U2),,https://link.springer.com/chapter/10.1007/978-3-031-56069-9_55,,10.1007/978-3-031-56069-9_55,,springer,2024
87,Examining Potential Harms of Large Language Models (LLMs) in Africa,,https://link.springer.com/chapter/10.1007/978-3-031-56396-6_1,,10.1007/978-3-031-56396-6_1,,springer,2024
88,Support to Interaction Between Medical Practitioners and Patients: A Systematic Review,,https://link.springer.com/chapter/10.1007/978-3-031-56396-6_24,,10.1007/978-3-031-56396-6_24,,springer,2024
89,"Integrating LLMs in Higher Education, Through Interactive Problem Solving and Tutoring: Algorithmic Approach and Use Cases",,https://link.springer.com/chapter/10.1007/978-3-031-56478-9_21,,10.1007/978-3-031-56478-9_21,,springer,2024
90,Exploring LLMs' Ability to Detect Variability in Requirements,,http://dx.doi.org/10.1007/978-3-031-57327-9_11,,10.1007/978-3-031-57327-9_11,,web_of_science,2024
91,Optimized BERT Model for Question Answering System on Mobile Platform,,https://link.springer.com/chapter/10.1007/978-3-031-58495-4_9,,10.1007/978-3-031-58495-4_9,,springer,2024
92,Conversational Systems for AI-Augmented Business Process Management,,https://link.springer.com/chapter/10.1007/978-3-031-59465-6_12,,10.1007/978-3-031-59465-6_12,,springer,2024
93,"How to Teach Programming in the AI Era? Using LLMs as a Teachable Agent
  for Debugging",,http://arxiv.org/pdf/2310.05292v4.pdf,,10.1007/978-3-031-64302-6_19,,arxiv,2023
94,Panda3D,,https://link.springer.com/chapter/10.1007/978-3-319-08234-9_535-1,,10.1007/978-3-319-08234-9_535-1,,springer,2023
95,On Alternating Phrase-Structure Grammars,,https://link.springer.com/chapter/10.1007/978-3-540-88282-4_36,,10.1007/978-3-540-88282-4_36,,springer,2008
96,Implementing Flexible Parallelism for Modular Self-reconfigurable Robots,,https://link.springer.com/chapter/10.1007/978-3-540-89076-8_15,,10.1007/978-3-540-89076-8_15,,springer,2008
97,eGIF4M: eGovernment Interoperability Framework for Mozambique,,https://link.springer.com/chapter/10.1007/978-3-642-03516-6_28,,10.1007/978-3-642-03516-6_28,,springer,2009
98,"The Transmission of Pythagorean Arithmetic in the Context of the Ancient Musical Tradition from the Greek to the Latin Orbits During the Renaissance: A Computational Approach of Identifying and Analyzing the Formation of Scales in the De Harmonia Musicorum Instrumentorum Opus (Milan, 1518) of Franchino Gaffurio (1451–1522)",,https://link.springer.com/chapter/10.1007/978-3-642-04579-0_39,,10.1007/978-3-642-04579-0_39,,springer,2009
99,A Methodology of Traffic Engineering to IP Backbone,,https://link.springer.com/chapter/10.1007/978-3-642-04968-2_16,,10.1007/978-3-642-04968-2_16,,springer,2009
100,Topological Operators on Cell Complexes in Arbitrary Dimensions,,https://link.springer.com/chapter/10.1007/978-3-642-30238-1_11,,10.1007/978-3-642-30238-1_11,,springer,2012
101,Exploring GPT-4 as MR Sequence and Reconstruction Programming Assistant,,https://link.springer.com/chapter/10.1007/978-3-658-44037-4_28,,10.1007/978-3-658-44037-4_28,,springer,2024
102,Digital Innovation and Social Dilemmas,,https://link.springer.com/chapter/10.1007/978-3-662-43459-8_4,,10.1007/978-3-662-43459-8_4,,springer,2014
103,Prospects for Hybrid AI,,https://link.springer.com/chapter/10.1007/978-3-662-68290-6_5,,10.1007/978-3-662-68290-6_5,,springer,2024
104,Automated Comment Generation Based on the Large Language Model,,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_25,,10.1007/978-981-97-0730-0_25,,springer,2024
105,Assistant Teaching System for Computer Hardware Courses Based on Large Language Model,,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_27,,10.1007/978-981-97-0730-0_27,,springer,2024
106,Automatic Generation of Multiple-Choice Questions for CS0 and CS1 Curricula Using Large Language Models,,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_28,,10.1007/978-981-97-0730-0_28,,springer,2024
107,Knowledge Sources,,https://link.springer.com/chapter/10.1007/978-981-97-0747-8_2,,10.1007/978-981-97-0747-8_2,,springer,2024
108,Growth and Branching of Natural Language Processing,,https://link.springer.com/chapter/10.1007/978-981-97-0771-3_6,,10.1007/978-981-97-0771-3_6,,springer,2024
109,Design and Application of Formative Evaluation in the Artificial Intelligence Course,,https://link.springer.com/chapter/10.1007/978-981-97-0791-1_22,,10.1007/978-981-97-0791-1_22,,springer,2024
110,Towards Higher Abstraction Levels in Quantum Computing,,https://link.springer.com/chapter/10.1007/978-981-97-0989-2_13,,10.1007/978-981-97-0989-2_13,,springer,2024
111,Evolution Through Large Models,,https://link.springer.com/chapter/10.1007/978-981-99-3814-8_11,,10.1007/978-981-99-3814-8_11,,springer,2024
112,Self-agreement: A Framework for Fine-Tuning Language Models to Find Agreement Among Diverse Opinions,,https://link.springer.com/chapter/10.1007/978-981-99-7022-3_26,,10.1007/978-981-99-7022-3_26,,springer,2024
113,Applications and Implication of Generative AI in Non-STEM Disciplines in Higher Education,,https://link.springer.com/chapter/10.1007/978-981-99-7587-7_29,,10.1007/978-981-99-7587-7_29,,springer,2024
114,Assessing and Enhancing LLMs: A Physics and History Dataset and One-More-Check Pipeline Method,,https://link.springer.com/chapter/10.1007/978-981-99-8178-6_38,,10.1007/978-981-99-8178-6_38,,springer,2024
115,Prompting Large Language Models to Power Educational Chatbots,,https://link.springer.com/chapter/10.1007/978-981-99-8385-8_14,,10.1007/978-981-99-8385-8_14,,springer,2023
116,Enhancing Image Comprehension for Computer Science Visual Question Answering,,http://dx.doi.org/10.1007/978-981-99-8429-9_39,,10.1007/978-981-99-8429-9_39,,"web_of_science, springer",2024
117,Feasibility Study on Parameter Adjustment for a Humanoid Using LLM Tailoring Physical Care,,https://link.springer.com/chapter/10.1007/978-981-99-8715-3_20,,10.1007/978-981-99-8715-3_20,,springer,2024
118,The Recent Trends of Research on GitHub Copilot: A Systematic Review,,https://link.springer.com/chapter/10.1007/978-981-99-9589-9_27,,10.1007/978-981-99-9589-9_27,,springer,2024
119,"Threats, Opportunities, and Misconceptions",,https://link.springer.com/chapter/10.1007/979-8-8688-0017-7_6,,10.1007/979-8-8688-0017-7_6,,springer,2023
120,Understanding ChatGPT’s Underlying Technology,,https://link.springer.com/chapter/10.1007/979-8-8688-0032-0_2,,10.1007/979-8-8688-0032-0_2,,springer,2023
121,Learning controllers for industrial robots,,https://link.springer.com/article/10.1007/BF00117445,,10.1007/BF00117445,,springer,1996
122,Estimating test effectiveness with dynamic complexity measurement,,https://link.springer.com/article/10.1007/BF00127448,,10.1007/BF00127448,,springer,1996
123,The effect of management structure on the performance of interconnected packet-switched networks,,https://link.springer.com/article/10.1007/BF01026826,,10.1007/BF01026826,,springer,1993
124,Fast parallel Lyndon factorization with applications,,https://link.springer.com/article/10.1007/BF01191471,,10.1007/BF01191471,,springer,1995
125,Scientometric datafiles. A comprehensive set of indicators on 2649 journals and 96 countries in all major science fields and subfields 1981–1985,,https://link.springer.com/article/10.1007/BF02093234,,10.1007/BF02093234,,springer,1989
126,High-speed tools for Global Information Management I. Information processing and retrieval,,https://link.springer.com/article/10.1007/BF02265087,,10.1007/BF02265087,,springer,1996
127,Transcript of panel discussion,,https://link.springer.com/chapter/10.1007/BFb0025794,,10.1007/BFb0025794,,springer,1982
128,"The imitation game, the “child machine,” and the fathers of AI",,https://link.springer.com/article/10.1007/s00146-022-01512-0,,10.1007/s00146-022-01512-0,,springer,2022
129,AI ethics as subordinated innovation network,,https://link.springer.com/article/10.1007/s00146-023-01658-5,,10.1007/s00146-023-01658-5,,springer,2023
130,Prompting meaning: a hermeneutic approach to optimising prompt engineering with ChatGPT,,https://link.springer.com/article/10.1007/s00146-023-01752-8,,10.1007/s00146-023-01752-8,,"springer, springer",2023
131,Friend or foe? Exploring the implications of large language models on the science system,,https://link.springer.com/article/10.1007/s00146-023-01791-1,,10.1007/s00146-023-01791-1,,springer,2023
132,At the intersection of humanity and technology: a technofeminist intersectional critical discourse analysis of gender and race biases in the natural language processing model GPT-3,,https://link.springer.com/article/10.1007/s00146-023-01804-z,,10.1007/s00146-023-01804-z,,springer,2023
133,"Artificial thinking and doomsday projections: a discourse on trust, ethics and safety",,https://link.springer.com/article/10.1007/s00146-023-01810-1,,10.1007/s00146-023-01810-1,,springer,2023
134,Machine learning in human creativity: status and perspectives,,https://link.springer.com/article/10.1007/s00146-023-01836-5,,10.1007/s00146-023-01836-5,,springer,2024
135,The work of art in the age of artificial intelligibility,,https://link.springer.com/article/10.1007/s00146-023-01845-4,,10.1007/s00146-023-01845-4,,springer,2024
136,ChatGPT: towards AI subjectivity,,https://link.springer.com/article/10.1007/s00146-024-01898-z,,10.1007/s00146-024-01898-z,,springer,2024
137,Using rhetorical strategies to design prompts: a human-in-the-loop approach to make AI useful,,https://link.springer.com/article/10.1007/s00146-024-01905-3,,10.1007/s00146-024-01905-3,,springer,2024
138,Challenges as catalysts: how Waymo’s Open Dataset Challenges shape AI development,,https://link.springer.com/article/10.1007/s00146-024-01927-x,,10.1007/s00146-024-01927-x,,springer,2024
139,A survey on sentiment analysis and its applications,,https://link.springer.com/article/10.1007/s00521-023-08941-y,,10.1007/s00521-023-08941-y,,springer,2023
140,"Exploring contactless techniques in multimodal emotion recognition: insights into diverse applications, challenges, solutions, and prospects",,https://link.springer.com/article/10.1007/s00530-024-01302-2,,10.1007/s00530-024-01302-2,,springer,2024
141,Similarity-driven and task-driven models for diversity of opinion in crowdsourcing markets,,https://link.springer.com/article/10.1007/s00778-024-00853-0,,10.1007/s00778-024-00853-0,,springer,2024
142,A systematic review and research challenges on phishing cyberattacks from an electroencephalography and gaze-based perspective,,https://link.springer.com/article/10.1007/s00779-024-01794-9,,10.1007/s00779-024-01794-9,,springer,2024
143,"“The ChatGPT bot is causing panic now – but it’ll soon be as mundane a tool as Excel”: analysing topics, sentiment and emotions relating to ChatGPT on Twitter",,https://link.springer.com/article/10.1007/s00779-024-01811-x,,10.1007/s00779-024-01811-x,,springer,2024
144,BiMuF: a bi-directional recommender system with multi-semantic filter for online recruitment,,https://link.springer.com/article/10.1007/s10115-023-01997-1,,10.1007/s10115-023-01997-1,,springer,2023
145,An analysis of large language models: their impact and potential applications,,https://link.springer.com/article/10.1007/s10115-024-02120-8,,10.1007/s10115-024-02120-8,,springer,2024
146,Situational Data Integration in Question Answering systems: a survey over two decades,,https://link.springer.com/article/10.1007/s10115-024-02136-0,,10.1007/s10115-024-02136-0,,springer,2024
147,LLM examiner: automating assessment in informal self-directed e-learning using ChatGPT,,https://link.springer.com/article/10.1007/s10115-024-02156-w,,10.1007/s10115-024-02156-w,,springer,2024
148,"Generative AI for pentesting: the good, the bad, the ugly",,https://link.springer.com/article/10.1007/s10207-024-00835-x,,10.1007/s10207-024-00835-x,,springer,2024
149,On the assessment of generative AI in modeling tasks: an experience report with ChatGPT and UML,,https://link.springer.com/article/10.1007/s10270-023-01105-5,,10.1007/s10270-023-01105-5,,springer,2023
150,Large language models as an “operating” system for software and systems modeling,,https://link.springer.com/article/10.1007/s10270-023-01126-0,,10.1007/s10270-023-01126-0,,springer,2023
151,Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,,https://link.springer.com/article/10.1007/s10270-024-01176-y,,10.1007/s10270-024-01176-y,,springer,2024
152,An association between fingerprint patterns with blood group and lifestyle based diseases: a review,,https://link.springer.com/article/10.1007/s10462-020-09891-w,,10.1007/s10462-020-09891-w,,springer,2020
153,"Machine learning towards intelligent systems: applications, challenges, and opportunities",,https://link.springer.com/article/10.1007/s10462-020-09948-w,,10.1007/s10462-020-09948-w,,springer,2021
154,A comprehensive bibliometric and content analysis of artificial intelligence in language learning: tracing between the years 2017 and 2023,,https://link.springer.com/article/10.1007/s10462-023-10643-9,,10.1007/s10462-023-10643-9,,springer,2024
155,Unraveling the mysteries of AI chatbots,,https://link.springer.com/article/10.1007/s10462-024-10720-7,,10.1007/s10462-024-10720-7,,springer,2024
156,On the computational complexity of ethics: moral tractability for minds and machines,,https://link.springer.com/article/10.1007/s10462-024-10732-3,,10.1007/s10462-024-10732-3,,springer,2024
157,A method for the ethical analysis of brain-inspired AI,,https://link.springer.com/article/10.1007/s10462-024-10769-4,,10.1007/s10462-024-10769-4,,springer,2024
158,A survey of safety and trustworthiness of large language models through the lens of verification and validation,,https://link.springer.com/article/10.1007/s10462-024-10824-0,,10.1007/s10462-024-10824-0,,springer,2024
159,Special issue in memory of Carole Hafner: editor’s introduction,,https://link.springer.com/article/10.1007/s10506-016-9191-4,,10.1007/s10506-016-9191-4,,springer,2016
160,Re-evaluating GPT-4’s bar exam performance,,https://link.springer.com/article/10.1007/s10506-024-09396-9,,10.1007/s10506-024-09396-9,,springer,2024
161,Large language models for qualitative research in software engineering: exploring opportunities and challenges,,https://link.springer.com/article/10.1007/s10515-023-00407-8,,10.1007/s10515-023-00407-8,,springer,2023
162,Can AI serve as a substitute for human subjects in software engineering research?,,https://link.springer.com/article/10.1007/s10515-023-00409-6,,10.1007/s10515-023-00409-6,,springer,2024
163,Distilled GPT for source code summarization,,https://link.springer.com/article/10.1007/s10515-024-00421-4,,10.1007/s10515-024-00421-4,,springer,2024
164,Future of software development with generative AI,,https://link.springer.com/article/10.1007/s10515-024-00426-z,,10.1007/s10515-024-00426-z,,"springer, web_of_science",2024
165,Automated quantum software engineering,,https://link.springer.com/article/10.1007/s10515-024-00436-x,,10.1007/s10515-024-00436-x,,springer,2024
