title,published,link,DOI,authors,content_type
Automated Program Repair Using Generative Models for Code Infilling,2023,https://link.springer.com/chapter/10.1007/978-3-031-36272-9_74,10.1007/978-3-031-36272-9_74,"Charles Koutcheme, Sami Sarsa, ... Paul Denny",Conference paper
"Threats, Opportunities, and Misconceptions",2023,https://link.springer.com/chapter/10.1007/979-8-8688-0017-7_6,10.1007/979-8-8688-0017-7_6,Thimira Amaratunga,Chapter
Safeguarding human values: rethinking US law for generative AI’s societal impacts,07 May 2024,/article/10.1007/s43681-024-00451-4,10.1007/s43681-024-00451-4,"Inyoung Cheong, Aylin Caliskan, Tadayoshi Kohno",Article
Support to Interaction Between Medical Practitioners and Patients: A Systematic Review,2024,https://link.springer.com/chapter/10.1007/978-3-031-56396-6_24,10.1007/978-3-031-56396-6_24,"Ezekiel Olayide Tolulope, Franklin Tchakounte",Conference paper
The impact of ChatGPT on L2 writing and expected responses: Voice from doctoral students,12 December 2023,/article/10.1007/s10639-023-12397-x,10.1007/s10639-023-12397-x,"Min Zou, Liang Huang",Article
Analyzing the Innovative Potential of Texts Generated by Large Language Models: An Empirical Evaluation,2023,https://link.springer.com/chapter/10.1007/978-3-031-39689-2_2,10.1007/978-3-031-39689-2_2,"Oliver Krauss, Michaela Jungwirth, ... Andreas Stoeckl",Conference paper
The Transformation of Business,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_7,10.1007/978-1-4842-9367-6_7,Tom Taulli,Chapter
Creating Automatic Connections for Personal Knowledge Management,08 May 2024,/article/10.1007/s42979-024-02876-4,10.1007/s42979-024-02876-4,"Felipe Poggi A. Fraga, Marcus Poggi, ... Luiz André P. Paes Leme",Article
Exploring differences in ethical decision-making processes between humans and ChatGPT-3 model: a study of trade-offs,04 September 2023,/article/10.1007/s43681-023-00335-z,10.1007/s43681-023-00335-z,"Umair Rehman, Farkhund Iqbal, Muhammad Umair Shah",Article
Interpretable Dropout Prediction: Towards XAI-Based Personalized Intervention,14 March 2023,/article/10.1007/s40593-023-00331-8,10.1007/s40593-023-00331-8,"Marcell Nagy, Roland Molontay",Article
Machine learning in human creativity: status and perspectives,12 January 2024,/article/10.1007/s00146-023-01836-5,10.1007/s00146-023-01836-5,"Mirko Farina, Andrea Lavazza, ... Witold Pedrycz",Article
Student Opinion Mining About Instructor Using Optimized Ensemble Machine Learning Model and Feature Fusion,25 June 2024,/article/10.1007/s42979-024-03032-8,10.1007/s42979-024-03032-8,"Ravinder Ahuja, S. C. Sharma",Article
The Economics of Generative AI,2024,https://link.springer.com/chapter/10.1007/978-3-031-46238-2_25,10.1007/978-3-031-46238-2_25,Stanislav Ivanov,Chapter
The Future of Humans and Language Models,2023,https://link.springer.com/chapter/10.1007/978-3-031-37690-0_7,10.1007/978-3-031-37690-0_7,Mascha Kurpicz-Briki,Chapter
Conversational Systems for AI-Augmented Business Process Management,2024,https://link.springer.com/chapter/10.1007/978-3-031-59465-6_12,10.1007/978-3-031-59465-6_12,"Angelo Casciani, Mario L. Bernardi, ... Andrea Marrella",Conference paper
"Generative AI for pentesting: the good, the bad, the ugly",15 March 2024,/article/10.1007/s10207-024-00835-x,10.1007/s10207-024-00835-x,"Eric Hilario, Sami Azam, ... Bharanidharan Shanmugam",Article
A Software Platform for Evaluating Student Essays in Interdisciplinary Learning with Topic Classification Techniques,2023,https://link.springer.com/chapter/10.1007/978-3-031-36336-8_100,10.1007/978-3-031-36336-8_100,"Bryan Lim Cheng Yee, Chenyu Hou, ... Xiuyi Fan",Conference paper
"The imitation game, the “child machine,” and the fathers of AI",25 June 2022,/article/10.1007/s00146-022-01512-0,10.1007/s00146-022-01512-0,Teresa Heffernan,Article
Acceptance of Generative AI in the Creative Industry: Examining the Role of AI Anxiety in the UTAUT2 Model,2023,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_18,10.1007/978-3-031-48057-7_18,"Ming Yin, Bingxu Han, ... Min Hua",Conference paper
Data cleaning and machine learning: a systematic literature review,11 June 2024,/article/10.1007/s10515-024-00453-w,10.1007/s10515-024-00453-w,"Pierre-Olivier Côté, Amin Nikanjam, ... Foutse Khomh",Article
Large Language Models in the Workplace: A Case Study on Prompt Engineering for Job Type Classification,2023,https://link.springer.com/chapter/10.1007/978-3-031-35320-8_1,10.1007/978-3-031-35320-8_1,"Benjamin Clavié, Alexandru Ciceu, ... Thomas Brightwell",Conference paper
"Prolog: Past, Present, and Future",2023,https://link.springer.com/chapter/10.1007/978-3-031-35254-6_4,10.1007/978-3-031-35254-6_4,"Gopal Gupta, Elmer Salazar, ... Manuel Carro",Chapter
Fundamentals of Natural Language Processing,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9221-1_5,10.1007/978-1-4842-9221-1_5,Krunal S. Trivedi,Chapter
From nCoder to ChatGPT: From Automated Coding to Refining Human Coding,2023,https://link.springer.com/chapter/10.1007/978-3-031-47014-1_32,10.1007/978-3-031-47014-1_32,"Andres Felipe Zambrano, Xiner Liu, ... Nidhi Nasiar",Conference paper
State of the Art of Machine Learning,2024,https://link.springer.com/chapter/10.1007/978-3-031-46990-9_7,10.1007/978-3-031-46990-9_7,Eklas Hossain,Chapter
At the intersection of humanity and technology: a technofeminist intersectional critical discourse analysis of gender and race biases in the natural language processing model GPT-3,25 November 2023,/article/10.1007/s00146-023-01804-z,10.1007/s00146-023-01804-z,"M. A. Palacios Barea, D. Boeren, J. F. Ferreira Goncalves",Article
Prompting meaning: a hermeneutic approach to optimising prompt engineering with ChatGPT,04 September 2023,/article/10.1007/s00146-023-01752-8,10.1007/s00146-023-01752-8,"Leah Henrickson, Albert Meroño-Peñuela",Article
Prompting meaning: a hermeneutic approach to optimising prompt engineering with ChatGPT,04 September 2023,/article/10.1007/s00146-023-01752-8,10.1007/s00146-023-01752-8,"Leah Henrickson, Albert Meroño-Peñuela",Article
Opposing agents evolve the research: a decade of digital forensics,11 June 2024,/article/10.1007/s11042-024-19519-8,10.1007/s11042-024-19519-8,"Raghu Raman, Aditya Kumar Sahu, ... Prema Nedungadi",Article
Enhancing academic performance prediction with temporal graph networks for massive open online courses,13 April 2024,/article/10.1186/s40537-024-00918-5,10.1186/s40537-024-00918-5,"Qionghao Huang, Jili Chen",Article
"Chatgpt for cybersecurity: practical applications, challenges, and future directions",24 August 2023,/article/10.1007/s10586-023-04124-5,10.1007/s10586-023-04124-5,"Muna Al-Hawawreh, Ahamed Aljuhani, Yaser Jararweh",Article
Panda3D,2023,https://link.springer.com/chapter/10.1007/978-3-319-08234-9_535-1,10.1007/978-3-319-08234-9_535-1,Elif Surer,Living reference work entry
Predictive analysis visualization component in simulated data streams,14 June 2024,/article/10.1007/s10791-024-09447-4,10.1007/s10791-024-09447-4,"Adam Dudáš, Daniel Demian",Article
Challenges as catalysts: how Waymo’s Open Dataset Challenges shape AI development,17 April 2024,/article/10.1007/s00146-024-01927-x,10.1007/s00146-024-01927-x,"Sam Hind, Fernando N. van der Vlist, Max Kanderske",Article
Learner Models for MOOC in a Lifelong Learning Context: A Systematic Literature Review,2021,https://link.springer.com/chapter/10.1007/978-3-030-86439-2_20,10.1007/978-3-030-86439-2_20,"Sergio Iván Ramírez Luelmo, Nour El Mawas, Jean Heutte",Conference paper
BiMuF: a bi-directional recommender system with multi-semantic filter for online recruitment,17 October 2023,/article/10.1007/s10115-023-01997-1,10.1007/s10115-023-01997-1,"Pei-Yuan Lai, Zhe-Rui Yang, ... Chang-Dong Wang",Article
The mechanisms of AI hype and its planetary and social costs,02 April 2024,/article/10.1007/s43681-024-00461-2,10.1007/s43681-024-00461-2,"Alva Markelius, Connor Wright, ... Yu-Ting Kuo",Article
Engaging the many-hands problem of generative-AI outputs: a framework for attributing credit,11 March 2024,/article/10.1007/s43681-024-00440-7,10.1007/s43681-024-00440-7,"Donal Khosrowi, Finola Finn, Elinor Clark",Article
Analyzing the impact of companies on AI research based on publications,24 November 2023,/article/10.1007/s11192-023-04867-3,10.1007/s11192-023-04867-3,"Michael Färber, Lazaros Tampakis",Article
Identifying missing data handling methods with text mining,17 June 2024,/article/10.1007/s41060-024-00582-1,10.1007/s41060-024-00582-1,"Krisztián Boros, Zoltán Kmetty",Article
ChatGPT: towards AI subjectivity,09 April 2024,/article/10.1007/s00146-024-01898-z,10.1007/s00146-024-01898-z,Kristian D’Amato,Article
Understanding AI,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9852-7_7,10.1007/978-1-4842-9852-7_7,Tom Taulli,Chapter
Similarity-driven and task-driven models for diversity of opinion in crowdsourcing markets,17 May 2024,/article/10.1007/s00778-024-00853-0,10.1007/s00778-024-00853-0,"Chen Jason Zhang, Yunrui Liu, ... Fei Hao",Article
Summary,2024,https://link.springer.com/chapter/10.1007/978-3-031-55225-0_9,10.1007/978-3-031-55225-0_9,Grzegorz Chodak,Chapter
Enhancing BERT-Based Language Model for Multi-label Vulnerability Detection of Smart Contract in Blockchain,24 June 2024,/article/10.1007/s10922-024-09832-w,10.1007/s10922-024-09832-w,"Van Tong, Cuong Dao, ... Sami Souihi",Article
Future Trends in AI and Its Considerations for Business,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9669-1_23,10.1007/978-1-4842-9669-1_23,Francisco Javier Campos Zabala,Chapter
Understanding ChatGPT’s Underlying Technology,2023,https://link.springer.com/chapter/10.1007/979-8-8688-0032-0_2,10.1007/979-8-8688-0032-0_2,Charles Waghmare,Chapter
"Exploring contactless techniques in multimodal emotion recognition: insights into diverse applications, challenges, solutions, and prospects",06 April 2024,/article/10.1007/s00530-024-01302-2,10.1007/s00530-024-01302-2,"Umair Ali Khan, Qianru Xu, ... Janne Kauttonen",Article
Public perception of generative AI on Twitter: an empirical study based on occupation and usage,08 January 2024,/article/10.1140/epjds/s13688-023-00445-y,10.1140/epjds/s13688-023-00445-y,"Kunihiro Miyazaki, Taichi Murayama, ... Haewoon Kwak",Article
Examining Ethical and Social Implications of Digital Mental Health Technologies Through Expert Interviews and Sociotechnical Systems Theory,31 May 2024,/article/10.1007/s44206-024-00110-5,10.1007/s44206-024-00110-5,Jonathan Adams,Article
AI ethics as subordinated innovation network,20 April 2023,/article/10.1007/s00146-023-01658-5,10.1007/s00146-023-01658-5,James Steinhoff,Article
Needs and artificial intelligence,06 October 2022,/article/10.1007/s43681-022-00206-z,10.1007/s43681-022-00206-z,"Soheil Human, Ryan Watkins",Article
A method for the ethical analysis of brain-inspired AI,03 May 2024,/article/10.1007/s10462-024-10769-4,10.1007/s10462-024-10769-4,"Michele Farisco, G. Baldassarre, ... S. J. van Albada",Article
Use case cards: a use case reporting framework inspired by the European AI Act,20 March 2024,/article/10.1007/s10676-024-09757-7,10.1007/s10676-024-09757-7,"Isabelle Hupont, David Fernández-Llorca, ... Emilia Gómez",Article
Re-evaluating GPT-4’s bar exam performance,30 March 2024,/article/10.1007/s10506-024-09396-9,10.1007/s10506-024-09396-9,Eric Martínez,Article
On the computational complexity of ethics: moral tractability for minds and machines,31 March 2024,/article/10.1007/s10462-024-10732-3,10.1007/s10462-024-10732-3,Jakob Stenseke,Article
Anticipating impacts: using large-scale scenario-writing to explore diverse implications of generative AI in the news environment,27 May 2024,/article/10.1007/s43681-024-00497-4,10.1007/s43681-024-00497-4,"Kimon Kieslich, Nicholas Diakopoulos, Natali Helberger",Article
Legal Tech and Lawtech: Towards a Framework for Technological Trends in the Legal Services Industry,2021,https://link.springer.com/chapter/10.1007/978-3-030-66661-3_11,10.1007/978-3-030-66661-3_11,"Ciaran M. Harper, S. Sarah Zhang",Chapter
Growth and Branching of Natural Language Processing,2024,https://link.springer.com/chapter/10.1007/978-981-97-0771-3_6,10.1007/978-981-97-0771-3_6,Masayuki Ida,Chapter
Personalized Persuasive Technologies in Health and Wellness: From Theory to Practice,2024,https://link.springer.com/chapter/10.1007/978-3-031-55109-3_10,10.1007/978-3-031-55109-3_10,"Alaa Alslaity, Oladapo Oyebode, ... Rita Orji",Chapter
"Machine learning towards intelligent systems: applications, challenges, and opportunities",08 January 2021,/article/10.1007/s10462-020-09948-w,10.1007/s10462-020-09948-w,"MohammadNoor Injadat, Abdallah Moubayed, ... Abdallah Shami",Article
Beyond Predictive Learning Analytics Modelling and onto Explainable Artificial Intelligence with Prescriptive Analytics and ChatGPT,22 June 2023,/article/10.1007/s40593-023-00336-3,10.1007/s40593-023-00336-3,Teo Susnjak,Article
Situational Data Integration in Question Answering systems: a survey over two decades,18 June 2024,/article/10.1007/s10115-024-02136-0,10.1007/s10115-024-02136-0,"Maria Helena Franciscatto, Luis Carlos Erpen de Bona, ... João Carlos Damasceno Lima",Article
A systematic review and research challenges on phishing cyberattacks from an electroencephalography and gaze-based perspective,19 March 2024,/article/10.1007/s00779-024-01794-9,10.1007/s00779-024-01794-9,"George A. Thomopoulos, Dimitrios P. Lyras, Christos A. Fidas",Article
Text Data Augmentation for Deep Learning,19 July 2021,/article/10.1186/s40537-021-00492-0,10.1186/s40537-021-00492-0,"Connor Shorten, Taghi M. Khoshgoftaar, Borko Furht",Article
Resources and Conclusions,2022,https://link.springer.com/chapter/10.1007/978-3-031-16719-5_13,10.1007/978-3-031-16719-5_13,"Matthew Guzdial, Sam Snodgrass, Adam J. Summerville",Chapter
Exploring Unique App Signature of the Depressed and Non-depressed Through Their Fingerprints on Apps,2022,https://link.springer.com/chapter/10.1007/978-3-030-99194-4_15,10.1007/978-3-030-99194-4_15,"Md. Sabbir Ahmed, Nova Ahmed",Conference paper
A survey on sentiment analysis and its applications,17 August 2023,/article/10.1007/s00521-023-08941-y,10.1007/s00521-023-08941-y,"Tamara Amjad Al-Qablan, Mohd Halim Mohd Noor, ... Ahamad Tajudin Khader",Article
Clinical Information Retrieval: A Literature Review,23 January 2024,/article/10.1007/s41666-024-00159-4,10.1007/s41666-024-00159-4,"Sonish Sivarajkumar, Haneef Ahamed Mohammad, ... Yanshan Wang",Article
Six-Writings multimodal processing with pictophonetic coding to enhance Chinese language models,01 January 2024,/article/10.1631/FITEE.2300384,10.1631/FITEE.2300384,"Li Weigang, Mayara Chew Marinho, ... Vitor Vasconcelos De Oliveira",Article
Advanced SXO Techniques,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9212-9_4,10.1007/978-1-4842-9212-9_4,Zuzanna Krüger,Chapter
The Ethics of Computational Social Science,2023,https://link.springer.com/chapter/10.1007/978-3-031-16624-2_4,10.1007/978-3-031-16624-2_4,David Leslie,Chapter
So What’s the Plan? Mining Strategic Planning Documents,2020,https://link.springer.com/chapter/10.1007/978-3-030-65218-0_16,10.1007/978-3-030-65218-0_16,"Ekaterina Artemova, Tatiana Batura, ... Elena Tutubalina",Conference paper
Tabular and latent space synthetic data generation: a literature review,10 July 2023,/article/10.1186/s40537-023-00792-7,10.1186/s40537-023-00792-7,"Joao Fonseca, Fernando Bacao",Article
An association between fingerprint patterns with blood group and lifestyle based diseases: a review,18 August 2020,/article/10.1007/s10462-020-09891-w,10.1007/s10462-020-09891-w,"Vijaykumar Patil, D. R. Ingle",Article
Special issue in memory of Carole Hafner: editor’s introduction,10 November 2016,/article/10.1007/s10506-016-9191-4,10.1007/s10506-016-9191-4,T. J. M. Bench-Capon,Article
Digital Innovation and Social Dilemmas,2014,https://link.springer.com/chapter/10.1007/978-3-662-43459-8_4,10.1007/978-3-662-43459-8_4,"Maria Åkesson, Michel Thomsen",Conference paper
Topological Operators on Cell Complexes in Arbitrary Dimensions,2012,https://link.springer.com/chapter/10.1007/978-3-642-30238-1_11,10.1007/978-3-642-30238-1_11,"Lidija Čomić, Leila De Floriani",Conference paper
"Bureaucracy, Safety and Software: a Potentially Lethal Cocktail",2010,https://link.springer.com/chapter/10.1007/978-1-84996-086-1_2,10.1007/978-1-84996-086-1_2,Les Hatton,Conference paper
E-Government Interoperability Framework: A Case Study in a Developing Country,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6536-3_32,10.1007/978-1-4419-6536-3_32,"Pavel Shvaiko, Adolfo Villafiorita, ... Teotonio Fumo",Chapter
Distillation,2011,https://link.springer.com/chapter/10.1007/978-1-4419-7713-7_4,10.1007/978-1-4419-7713-7_4,"Radu Hans Florian, Joseph Olive, ... John McCary",Chapter
eGIF4M: eGovernment Interoperability Framework for Mozambique,2009,https://link.springer.com/chapter/10.1007/978-3-642-03516-6_28,10.1007/978-3-642-03516-6_28,"Pavel Shvaiko, Adolfo Villafiorita, ... Jussi Hinkkanen",Conference paper
A Methodology of Traffic Engineering to IP Backbone,2009,https://link.springer.com/chapter/10.1007/978-3-642-04968-2_16,10.1007/978-3-642-04968-2_16,"José E. Bessa Maia, Arnoldo N. da Silva, ... Paulo R. F. Cunha",Conference paper
"The Transmission of Pythagorean Arithmetic in the Context of the Ancient Musical Tradition from the Greek to the Latin Orbits During the Renaissance: A Computational Approach of Identifying and Analyzing the Formation of Scales in the De Harmonia Musicorum Instrumentorum Opus (Milan, 1518) of Franchino Gaffurio (1451–1522)",2009,https://link.springer.com/chapter/10.1007/978-3-642-04579-0_39,10.1007/978-3-642-04579-0_39,"Herbert Kreyszig, Walter Kreyszig",Conference paper
On Alternating Phrase-Structure Grammars,2008,https://link.springer.com/chapter/10.1007/978-3-540-88282-4_36,10.1007/978-3-540-88282-4_36,"Etsuro Moriya, Friedrich Otto",Conference paper
Implementing Flexible Parallelism for Modular Self-reconfigurable Robots,2008,https://link.springer.com/chapter/10.1007/978-3-540-89076-8_15,10.1007/978-3-540-89076-8_15,"Mirko Bordignon, Lars Lindegaard Mikkelsen, Ulrik Pagh Schultz",Conference paper
Measuring Core Inflation by Multivariate Structural Time Series Models,2007,https://link.springer.com/chapter/10.1007/3-540-36626-1_10,10.1007/3-540-36626-1_10,Tommaso Proietti,Conference paper
Towards a Digital Library for Language Learning,2006,https://link.springer.com/chapter/10.1007/11863878_29,10.1007/11863878_29,"Shaoqun Wu, Ian H. Witten",Conference paper
Determination of Storage Locations for Incoming Containers of Uncertain Weight,2006,https://link.springer.com/chapter/10.1007/11779568_123,10.1007/11779568_123,"Jaeho Kang, Kwang Ryel Ryu, Kap Hwan Kim",Conference paper
Safety Case Practice - Meet the Challenge,2006,https://link.springer.com/chapter/10.1007/1-84628-447-3_5,10.1007/1-84628-447-3_5,"Werner Winkelbauer, Gabriele Schedl, Andreas Gerstinger",Conference paper
The Offshoring Obstacle Course,2004,https://link.springer.com/chapter/10.1007/978-1-4302-0740-5_3,10.1007/978-1-4302-0740-5_3,Bill Blunden,Chapter
Intelligent Agents for Document Categorization and Adaptive Filtering Using a Neural Network Approach and Fuzzy Logic,2003,https://link.springer.com/chapter/10.1007/978-1-4757-3739-4_12,10.1007/978-1-4757-3739-4_12,Frank Teuteberg,Chapter
Machine vision for industrial applications,2001,https://link.springer.com/chapter/10.1007/978-1-4471-0239-7_1,10.1007/978-1-4471-0239-7_1,"Bruce Batchelor, Frederick Waltz",Chapter
Chip-To-Package Interconnections,1997,https://link.springer.com/chapter/10.1007/978-1-4615-6037-1_2,10.1007/978-1-4615-6037-1_2,"Paul A. Totta, Subash Khadpe, ... Michael J. Sheaffer",Chapter
Legal Case Analysis in IS Research: Failures in Employing and Outsourcing for IT Professionals,1997,https://link.springer.com/chapter/10.1007/978-0-387-35309-8_25,10.1007/978-0-387-35309-8_25,"S. Ang, A. Endeshaw",Chapter
High-speed tools for Global Information Management I. Information processing and retrieval,01 August 1996,/article/10.1007/BF02265087,10.1007/BF02265087,"Paul A. D. De Maine, Kenneth D. Bradley",Article
Inductive logic programming beyond logical implication,1996,https://link.springer.com/chapter/10.1007/3-540-61863-5_46,10.1007/3-540-61863-5_46,"Jianguo Lu, Jun Arima",Conference paper
Learning controllers for industrial robots,01 May 1996,/article/10.1007/BF00117445,10.1007/BF00117445,"C. Baroglio, A. Giordana, ... R. Piola",Article
Estimating test effectiveness with dynamic complexity measurement,01 January 1996,/article/10.1007/BF00127448,10.1007/BF00127448,"John C. Munson, Gregory A. Hall",Article
A skills-driven process for training computer professionals,1995,https://link.springer.com/chapter/10.1007/3-540-58951-1_119,10.1007/3-540-58951-1_119,"Sherrie Bayman, Maurice H. Blumberg, ... Cheryl Diallo",Conference paper
Fast parallel Lyndon factorization with applications,01 March 1995,/article/10.1007/BF01191471,10.1007/BF01191471,"A. Apostolico, M. Crochemore",Article
The effect of management structure on the performance of interconnected packet-switched networks,01 March 1993,/article/10.1007/BF01026826,10.1007/BF01026826,"Izhak Rubin, Teresa Cheng",Article
On the Computational Complexity of Approximating Distributions by Probabilistic Automata,01 July 1992,/article/10.1023/A:1022693116573,10.1023/A:1022693116573,"Naoki Abe, Manfred K. Warmuth",Article
Random Mapping Statistics,1990,https://link.springer.com/chapter/10.1007/3-540-46885-4_34,10.1007/3-540-46885-4_34,"Philippe Flajolet, Andrew M. Odlyzko",Conference paper
Scientometric datafiles. A comprehensive set of indicators on 2649 journals and 96 countries in all major science fields and subfields 1981–1985,01 June 1989,/article/10.1007/BF02093234,10.1007/BF02093234,"A. Schubert, W. Glänzel, T. Braun",Article
Performance Evaluation of a Database System in Multiple Backend Configurations,1985,https://link.springer.com/chapter/10.1007/978-1-4612-5144-6_5,10.1007/978-1-4612-5144-6_5,"Steven A. Demurjian, David K. Hsiao, ... Joel Trimble",Chapter
Transcript of panel discussion,1982,https://link.springer.com/chapter/10.1007/BFb0025794,10.1007/BFb0025794,,Conference paper
Lateralization of Emotional or Behavioral Responses in Intact and Hemisphere-Damaged Humans and Rats,1982,https://link.springer.com/chapter/10.1007/978-1-4684-7890-7_10,10.1007/978-1-4684-7890-7_10,"Godfrey D. Pearlson, Robert G. Robinson",Chapter
