title,published,link,DOI,authors,content_type,abstract
"Students’ voices on generative AI: perceptions, benefits, and challenges in higher education",17 July 2023,/article/10.1186/s41239-023-00411-8,10.1186/s41239-023-00411-8,"Cecilia Ka Yuk Chan, Wenjie Hu",Article,"<jats:title>Abstract</jats:title><jats:p>This study explores university students’ perceptions of generative AI (GenAI) technologies, such as ChatGPT, in higher education, focusing on familiarity, their willingness to engage, potential benefits and challenges, and effective integration. A survey of 399 undergraduate and postgraduate students from various disciplines in Hong Kong revealed a generally positive attitude towards GenAI in teaching and learning. Students recognized the potential for personalized learning support, writing and brainstorming assistance, and research and analysis capabilities. However, concerns about accuracy, privacy, ethical issues, and the impact on personal development, career prospects, and societal values were also expressed. According to John Biggs’ 3P model, student perceptions significantly influence learning approaches and outcomes. By understanding students’ perceptions, educators and policymakers can tailor GenAI technologies to address needs and concerns while promoting effective learning outcomes. Insights from this study can inform policy development around the integration of GenAI technologies into higher education. By understanding students’ perceptions and addressing their concerns, policymakers can create well-informed guidelines and strategies for the responsible and effective implementation of GenAI tools, ultimately enhancing teaching and learning experiences in higher education.</jats:p>"
Design and Application of Formative Evaluation in the Artificial Intelligence Course,2024,https://link.springer.com/chapter/10.1007/978-981-97-0791-1_22,10.1007/978-981-97-0791-1_22,"Ping Zhong, Chengyang Zhu, ... Wanchun Jiang",Conference paper,No abstract available for this DOI.
"Reflections on Automation, Learnability and Expressiveness in Logic-Based Programming Languages",2023,https://link.springer.com/chapter/10.1007/978-3-031-35254-6_29,10.1007/978-3-031-35254-6_29,Paul Tarau,Chapter,No abstract available for this DOI.
"ChatGPT Needs SPADE (Sustainability, PrivAcy, Digital divide, and Ethics) Evaluation: A Review",05 May 2024,/article/10.1007/s12559-024-10285-1,10.1007/s12559-024-10285-1,"Sunder Ali Khowaja, Parus Khuwaja, ... Lewis Nkenyereye",Article,"<jats:title>Abstract</jats:title><jats:p>ChatGPT is another large language model (LLM) vastly available for the consumers on their devices but due to its performance and ability to converse effectively, it has gained a huge popularity amongst research as well as industrial community. Recently, many studies have been published to show the effectiveness, efficiency, integration, and sentiments of chatGPT and other LLMs. In contrast, this study focuses on the important aspects that are mostly overlooked, i.e. sustainability, privacy, digital divide, and ethics and suggests that not only chatGPT but every subsequent entry in the category of conversational bots should undergo Sustainability, PrivAcy, Digital divide, and Ethics (SPADE) evaluation. This paper discusses in detail the issues and concerns raised over chatGPT in line with aforementioned characteristics. We also discuss the recent EU AI Act briefly in accordance with the SPADE evaluation. We support our hypothesis by some preliminary data collection and visualizations along with hypothesized facts. We also suggest mitigations and recommendations for each of the concerns. Furthermore, we also suggest some policies and recommendations for EU AI policy act concerning ethics, digital divide, and sustainability.</jats:p>"
Natural language processing in educational research: The evolution of research topics,23 May 2024,/article/10.1007/s10639-024-12764-2,10.1007/s10639-024-12764-2,"Hao Wu, Shan Li, ... Guozhu Ding",Article,No abstract available for this DOI.
"Editorial for EAIT issue 12, 2023",20 November 2023,/article/10.1007/s10639-023-12367-3,10.1007/s10639-023-12367-3,Arthur Tatnall,Article,No abstract available for this DOI.
Few-shot is enough: exploring ChatGPT prompt engineering method for automatic question generation in english education,31 October 2023,/article/10.1007/s10639-023-12249-8,10.1007/s10639-023-12249-8,"Unggi Lee, Haewon Jung, ... Hyeoncheol Kim",Article,No abstract available for this DOI.
Demystifying the Impact of ChatGPT on Teaching and Learning,2024,https://link.springer.com/chapter/10.1007/978-3-031-48536-7_7,10.1007/978-3-031-48536-7_7,"Tapiwa Gundu, Colin Chibaya",Conference paper,No abstract available for this DOI.
Students’ perceptions of using ChatGPT in a physics class as a virtual tutor,22 December 2023,/article/10.1186/s41239-023-00434-1,10.1186/s41239-023-00434-1,"Lu Ding, Tong Li, ... Albert Gapud",Article,"<jats:title>Abstract</jats:title><jats:p>The latest development of Generative Artificial Intelligence (GenAI), particularly ChatGPT, has drawn the attention of educational researchers and practitioners. We have witnessed many innovative uses of ChatGPT in STEM classrooms. However, studies regarding students’ perceptions of ChatGPT as a virtual tutoring tool in STEM education are rare. The current study investigated undergraduate students’ perceptions of using ChatGPT in a physics class as an assistant tool for addressing physics questions. Specifically, the study examined the accuracy of ChatGPT in answering physics questions, the relationship between students’ ChatGPT trust levels and answer accuracy, and the influence of trust on students’ perceptions of ChatGPT. Our finding indicates that despite the inaccuracy of GenAI in question answering, most students trust its ability to provide correct answers. Trust in GenAI is also associated with students’ perceptions of GenAI. In addition, this study sheds light on students’ misconceptions toward GenAI and provides suggestions for future considerations in AI literacy teaching and research.</jats:p>"
Distilled GPT for source code summarization,01 March 2024,/article/10.1007/s10515-024-00421-4,10.1007/s10515-024-00421-4,"Chia-Yi Su, Collin McMillan",Article,No abstract available for this DOI.
Formative Feedback on Student-Authored Summaries in Intelligent Textbooks Using Large Language Models,28 March 2024,/article/10.1007/s40593-024-00395-0,10.1007/s40593-024-00395-0,"Wesley Morris, Scott Crossley, ... Danielle McNamara",Article,"<jats:title>Abstract</jats:title><jats:p>As intelligent textbooks become more ubiquitous in classrooms and educational settings, the need to make them more interactive arises. An alternative is to ask students to generate knowledge in response to textbook content and provide feedback about the produced knowledge. This study develops Natural Language Processing models to automatically provide feedback to students about the quality of summaries written at the end of intelligent textbook sections. The study builds on the work of Botarleanu et al. (2022), who used a Longformer Large Language Model (LLM) to develop a summary grading model. Their model explained around 55% of holistic summary score variance as assigned by human raters. This study uses a principal component analysis to distill summary scores from an analytic rubric into two principal components – content and wording. This study uses two encoder-only classification large language models finetuned from Longformer on the summaries and the source texts using these principal components explained 82% and 70% of the score variance for content and wording, respectively. On a dataset of summaries collected on the crowd-sourcing site Prolific, the content model was shown to be robust although the accuracy of the wording model was reduced compared to the training set. The developed models are freely available on HuggingFace and will allow formative feedback to users of intelligent textbooks to assess reading comprehension through summarization in real time. The models can also be used for other summarization applications in learning systems.</jats:p>"
Prospects for Hybrid AI,2024,https://link.springer.com/chapter/10.1007/978-3-662-68290-6_5,10.1007/978-3-662-68290-6_5,"Klaus Mainzer, Reinhard Kahle",Chapter,No abstract available for this DOI.
Acceptance and use of ChatGPT in the academic community,18 May 2024,/article/10.1007/s10639-024-12765-1,10.1007/s10639-024-12765-1,"Artur Strzelecki, Karina Cicha, ... Paulina Rutecka",Article,"<jats:title>Abstract</jats:title><jats:p>Since OpenAI released ChatGPT, the discussion on its usage in education has been conducted by students and teachers of every education level. Also, many studies have been performed on the tool’s possibilities and the threats related to its usage, such as incomplete or inaccurate information obtained or even plagiarism. Many universities worldwide have introduced specific regulations on ChatGPT usage in academic work. Furthermore, research on using ChatGPT by students and their attitudes towards it has appeared. However, a research gap exists in higher education teachers’ acceptance of AI solutions. The goal of this research was to explore the level of acceptance of the usage of ChatGPT by academics in Poland, as well as point out factors influencing their intention to use this tool. The study motivation was related to an ongoing academic discussion mainly focusing on the disadvantages of AI solutions used in scientific work and the willingness to fill the gap by showing teachers’ attitudes toward AI. The data was collected online by inviting academic teachers from Polish public universities to complete the prepared survey. The survey was prepared using the Unified Theory of Acceptance and Use of Technology 2 (UTAUT2) model extended with Personal Innovativeness. It revealed the acceptance level of ChatGPT usage in Polish universities by teachers and researchers and the antecedents influencing willingness to use this technology in academic work. The paper contributes to the theory of AI usage by structuring the studies regarding ChatGPT application for teaching and research, and provides practical recommendations on ChatGPT adoption in the work of academics.</jats:p>"
"Integrating LLMs in Higher Education, Through Interactive Problem Solving and Tutoring: Algorithmic Approach and Use Cases",2024,https://link.springer.com/chapter/10.1007/978-3-031-56478-9_21,10.1007/978-3-031-56478-9_21,"Nikolaos P. Bakas, Maria Papadaki, ... Savvas A. Chatzichristofis",Conference paper,No abstract available for this DOI.
Academic Integrity in the Face of Generative Language Models,2024,https://link.springer.com/chapter/10.1007/978-3-031-50215-6_5,10.1007/978-3-031-50215-6_5,"Alba Meça, Nirvana Shkëlzeni",Conference paper,No abstract available for this DOI.
The work of art in the age of artificial intelligibility,28 March 2024,/article/10.1007/s00146-023-01845-4,10.1007/s00146-023-01845-4,John McLoughlin,Article,"<jats:title>Abstract</jats:title><jats:p>The emergence of complex deep-learning models capable of producing novel images on a practically innumerable number of subjects and in an equally wide variety of artistic styles is beginning to highlight serious inadequacies in the ethical, aesthetic, epistemological and legal frameworks we have so far used to categorise art. To begin tackling these issues and identifying a role for AI in the production and protection of human artwork, it is necessary to take a multidisciplinary approach which considers current legal precedents, the practice of software engineering, historical attitudes towards technological innovation and a sustained technical analysis of the models themselves. This paper queries the location and nature of substantive artistic work in the developmental stages of an AI-generated image, offering critiques of existing assumptions and posing questions for future research. The emergence of convincing AI creative output, artistic or literary, has significant long-term implications for the humanities, including the need for re-appraisal of foundational ideas about authorship and creativity in general. The effects of artificial intelligence, whether generalised or task-specific, cannot be ignored or displaced now that easy-access, scalable image and text production is a reality.</jats:p>"
The Current Era of Chatbots,2024,https://link.springer.com/chapter/10.1007/978-3-031-51004-5_4,10.1007/978-3-031-51004-5_4,Robert Ciesla,Chapter,No abstract available for this DOI.
A comprehensive bibliometric and content analysis of artificial intelligence in language learning: tracing between the years 2017 and 2023,01 April 2024,/article/10.1007/s10462-023-10643-9,10.1007/s10462-023-10643-9,"Abdur Rahman, Antony Raj, ... Mohamed Sahul Hameed",Article,"<jats:title>Abstract</jats:title><jats:p>The rising pervasiveness of Artificial Intelligence (AI) has led applied linguists to combine it with language teaching and learning processes. In many cases, such implementation has significantly contributed to the field. The retrospective amount of literature dedicated on the use of AI in language learning (LL) is overwhelming. Thus, the objective of this paper is to map the existing literature on Artificial Intelligence in language learning through bibliometric and content analysis. From the Scopus database, we systematically explored, after keyword refinement, the prevailing literature of AI in LL. After excluding irrelevant articles, we conducted our study with 606 documents published between 2017 and 2023 for further investigation. This review reinforces our understanding by identifying and distilling the relationships between the content, the contributions, and the contributors. The findings of the study show a rising pattern of AI in LL. Along with the metrics of performance analysis, through VOSviewer and R studio (Biblioshiny), our findings uncovered the influential authors, institutions, countries, and the most influential documents in the field. Moreover, we identified 7 clusters and potential areas of related research through keyword analysis. In addition to the bibliographic details, this review aims to elucidate the content of the field. NVivo 14 and Atlas AI were used to perform content analysis to categorize and present the type of AI used in language learning, Language learning factors, and its participants.</jats:p>"
Examining Potential Harms of Large Language Models (LLMs) in Africa,2024,https://link.springer.com/chapter/10.1007/978-3-031-56396-6_1,10.1007/978-3-031-56396-6_1,"Rehema Baguma, Hajarah Namuwaya, ... Qazi Mamunur Rashid",Conference paper,No abstract available for this DOI.
Friend or foe? Exploring the implications of large language models on the science system,26 October 2023,/article/10.1007/s00146-023-01791-1,10.1007/s00146-023-01791-1,"Benedikt Fecher, Marcel Hebing, ... Fabian Sofsky",Article,"<jats:title>Abstract</jats:title><jats:p>The advent of ChatGPT by OpenAI has prompted extensive discourse on its potential implications for science and higher education. While the impact on education has been a primary focus, there is limited empirical research on the effects of large language models (LLMs) and LLM-based chatbots on science and scientific practice. To investigate this further, we conducted a Delphi study involving 72 researchers specializing in AI and digitization. The study focused on applications and limitations of LLMs, their effects on the science system, ethical and legal considerations, and the required competencies for their effective use. Our findings highlight the transformative potential of LLMs in science, particularly in administrative, creative, and analytical tasks. However, risks related to bias, misinformation, and quality assurance need to be addressed through proactive regulation and science education. This research contributes to informed discussions on the impact of generative AI in science and helps identify areas for future action.</jats:p>"
"Sora for foundation robots with parallel intelligence: three world models, three robotic systems",22 April 2024,/article/10.1631/FITEE.2400144,10.1631/FITEE.2400144,"Lili Fan, Chao Guo, ... Fei-Yue Wang",Article,No abstract available for this DOI.
Building open-source AI,26 October 2023,/article/10.1038/s43588-023-00540-0,10.1038/s43588-023-00540-0,"Yash Raj Shrestha, Georg von Krogh, Stefan Feuerriegel",Article,No abstract available for this DOI.
Can ChatGPT Pass High School Exams on English Language Comprehension?,13 September 2023,/article/10.1007/s40593-023-00372-z,10.1007/s40593-023-00372-z,Joost C. F. de Winter,Article,"<jats:title>Abstract</jats:title><jats:p>Launched in late November 2022, ChatGPT, a large language model chatbot, has garnered considerable attention. However, ongoing questions remain regarding its capabilities. In this study, ChatGPT was used to complete national high school exams in the Netherlands on the topic of English reading comprehension. In late December 2022, we submitted the exam questions through the ChatGPT web interface (GPT-3.5). According to official norms, ChatGPT achieved a mean grade of 7.3 on the Dutch scale of 1 to 10—comparable to the mean grade of all students who took the exam in the Netherlands, 6.99. However, ChatGPT occasionally required re-prompting to arrive at an explicit answer; without these nudges, the overall grade was 6.5. In March 2023, API access was made available, and a new version of ChatGPT, GPT-4, was released. We submitted the same exams to the API, and GPT-4 achieved a score of 8.3 without a need for re-prompting. Additionally, employing a bootstrapping method that incorporated randomness through ChatGPT’s ‘temperature’ parameter proved effective in self-identifying potentially incorrect answers. Finally, a re-assessment conducted with the GPT-4 model updated as of June 2023 showed no substantial change in the overall score. The present findings highlight significant opportunities but also raise concerns about the impact of ChatGPT and similar large language models on educational assessment.</jats:p>"
The Practical Concepts of Machine Learning,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9801-5_2,10.1007/978-1-4842-9801-5_2,Patanjali Kashyap,Chapter,No abstract available for this DOI.
Artificial Intelligence and Information Literacy: Hazards and Opportunities,2024,https://link.springer.com/chapter/10.1007/978-3-031-53001-2_5,10.1007/978-3-031-53001-2_5,Michael Flierl,Conference paper,No abstract available for this DOI.
Use Cases,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9579-3_12,10.1007/978-1-4842-9579-3_12,Patrick Parra Pennefather,Chapter,No abstract available for this DOI.
Artificial Intelligence and Information Literacy: Hazards and Opportunities,2024,https://link.springer.com/chapter/10.1007/978-3-031-53001-2_5,10.1007/978-3-031-53001-2_5,Michael Flierl,Conference paper,No abstract available for this DOI.
Fairness-aware machine learning engineering: how far are we?,24 November 2023,/article/10.1007/s10664-023-10402-y,10.1007/s10664-023-10402-y,"Carmine Ferrara, Giulia Sellitto, ... Andrea De Lucia",Article,"<jats:title>Abstract</jats:title><jats:p>Machine learning is part of the daily life of people and companies worldwide. Unfortunately, bias in machine learning algorithms risks unfairly influencing the decision-making process and reiterating possible discrimination. While the interest of the software engineering community in software fairness is rapidly increasing, there is still a lack of understanding of various aspects connected to fair machine learning engineering, i.e., the software engineering process involved in developing fairness-critical machine learning systems. Questions connected to the practitioners’ awareness and maturity about fairness, the skills required to deal with the matter, and the best development phase(s) where fairness should be faced more are just some examples of the knowledge gaps currently open. In this paper, we provide insights into how fairness is perceived and managed in practice, to shed light on the instruments and approaches that practitioners might employ to properly handle fairness. We conducted a survey with 117 professionals who shared their knowledge and experience highlighting the relevance of fairness in practice, and the skills and tools required to handle it. The key results of our study show that fairness is still considered a second-class quality aspect in the development of artificial intelligence systems. The building of specific methods and development environments, other than automated validation tools, might help developers to treat fairness throughout the software lifecycle and revert this trend.</jats:p>"
1 \(^{st}\) Workshop on Information Retrieval for Understudied Users (IR4U2),2024,https://link.springer.com/chapter/10.1007/978-3-031-56069-9_55,10.1007/978-3-031-56069-9_55,"Maria Soledad Pera, Federica Cena, ... Emiliana Murgia",Conference paper,No abstract available for this DOI.
Learning Hierarchical Robot Skills Represented by Behavior Trees from Natural Language,2024,https://link.springer.com/chapter/10.1007/978-3-031-46846-9_20,10.1007/978-3-031-46846-9_20,"Kaiyi Wang, Yongjia Zhao, ... Ning Zhang",Conference paper,No abstract available for this DOI.
Using rhetorical strategies to design prompts: a human-in-the-loop approach to make AI useful,01 April 2024,/article/10.1007/s00146-024-01905-3,10.1007/s00146-024-01905-3,"Nupoor Ranade, Marly Saravia, Aditya Johri",Article,"<jats:title>Abstract</jats:title><jats:p>The growing capabilities of artificial intelligence (AI) word processing models have demonstrated exceptional potential to impact language related tasks and functions. Their fast pace of adoption and probable effect has also given rise to controversy within certain fields. Models, such as GPT-3, are a particular concern for professionals engaged in writing, particularly as their engagement with these technologies is limited due to lack of ability to control their output. Most efforts to maximize and control output rely on a process known as prompt engineering, the construction and modification of the inputted prompt with expectation for certain outputted or desired text. Consequently, prompt engineering has emerged as an important consideration for research and practice. Previous conceptions of prompt engineering have largely focused on technical and logistic modifications to the back-end processing, remaining inaccessible and, still, limited for most users. In this paper, we look to the technical communication field and its methods of text generation—the rhetorical situation—to conceptualize prompt engineering in a more comprehensible way for its users by considering the context and rhetoric. We introduce a framework, consisting of a formula, to prompt engineering, which demands all components of the rhetorical situation be present in the inputted prompt. We present discussions on the future of AI writing models and their use in both professional and educational settings. Ultimately, this discussion and its findings aim to provide a means of integrating agency and writer-centric methods to AI writing tools to advance a more human-in-the-loop approach. As the use of generative AI and especially NLP-based technologies become common across societal functions, the use of prompt engineering will play a crucial role not just in adoption of the technology, but also its productive and responsible use.</jats:p>"
"The role of ChatGPT in disrupting concepts, changing values, and challenging ethical norms: a qualitative study",04 September 2023,/article/10.1007/s43681-023-00338-w,10.1007/s43681-023-00338-w,Pouyan Esmaeilzadeh,Article,No abstract available for this DOI.
Text Analysis on Early Reactions to ChatGPT as a Tool for Academic Progress or Exploitation,29 March 2024,/article/10.1007/s42979-024-02714-7,10.1007/s42979-024-02714-7,"Umar Ali Bukar, Md Shohel Sayeed, ... Raja Azlina Raja Mahmood",Article,No abstract available for this DOI.
AI hype as a cyber security risk: the moral responsibility of implementing generative AI in business,23 February 2024,/article/10.1007/s43681-024-00443-4,10.1007/s43681-024-00443-4,"Declan Humphreys, Abigail Koay, ... Erica Mealy",Article,"<jats:title>Abstract</jats:title><jats:p>This paper examines the ethical obligations companies have when implementing generative Artificial Intelligence (AI). We point to the potential cyber security risks companies are exposed to when rushing to adopt generative AI solutions or buying into “AI hype”. While the benefits of implementing generative AI solutions for business have been widely touted, the inherent risks associated have been less well publicised. There are growing concerns that the race to integrate generative AI is not being accompanied by adequate safety measures. The rush to buy into the hype of generative AI and not fall behind the competition is potentially exposing companies to broad and possibly catastrophic cyber-attacks or breaches. In this paper, we outline significant cyber security threats generative AI models pose, including potential ‘backdoors’ in AI models that could compromise user data or the risk of ‘poisoned’ AI models producing false results. In light of these the cyber security concerns, we discuss the moral obligations of implementing generative AI into business by considering the ethical principles of beneficence, non-maleficence, autonomy, justice, and explicability. We identify two examples of ethical concern, <jats:italic>overreliance</jats:italic> and <jats:italic>over-trust</jats:italic> in generative AI, both of which can negatively influence business decisions, leaving companies vulnerable to cyber security threats. This paper concludes by recommending a set of checklists for ethical implementation of generative AI in business environment to minimise cyber security risk based on the discussed moral responsibilities and ethical concern.</jats:p>"
A survey of safety and trustworthiness of large language models through the lens of verification and validation,17 June 2024,/article/10.1007/s10462-024-10824-0,10.1007/s10462-024-10824-0,"Xiaowei Huang, Wenjie Ruan, ... Mustafa A. Mustafa",Article,"<jats:title>Abstract</jats:title><jats:p>Large language models (LLMs) have exploded a new heatwave of AI for their ability to engage end-users in human-level conversations with detailed and articulate answers across many knowledge domains. In response to their fast adoption in many industrial applications, this survey concerns their safety and trustworthiness. First, we review known vulnerabilities and limitations of the LLMs, categorising them into inherent issues, attacks, and unintended bugs. Then, we consider if and how the Verification and Validation (V&amp;V) techniques, which have been widely developed for traditional software and deep learning models such as convolutional neural networks as independent processes to check the alignment of their implementations against the specifications, can be integrated and further extended throughout the lifecycle of the LLMs to provide rigorous analysis to the safety and trustworthiness of LLMs and their applications. Specifically, we consider four complementary techniques: falsification and evaluation, verification, runtime monitoring, and regulations and ethical use. In total, 370+ references are considered to support the quick understanding of the safety and trustworthiness issues from the perspective of V&amp;V. While intensive research has been conducted to identify the safety and trustworthiness issues, rigorous yet practical methods are called for to ensure the alignment of LLMs with safety and trustworthiness requirements.</jats:p>"
Breaking language barriers with ChatGPT: enhancing low-resource machine translation between algerian arabic and MSA,23 May 2024,/article/10.1007/s41870-024-01926-7,10.1007/s41870-024-01926-7,"Baligh Babaali, Mohammed Salem, Nawaf R. Alharbe",Article,No abstract available for this DOI.
AI-generated feedback on writing: insights into efficacy and ENL student preference,27 October 2023,/article/10.1186/s41239-023-00425-2,10.1186/s41239-023-00425-2,"Juan Escalante, Austin Pack, Alex Barrett",Article,"<jats:title>Abstract</jats:title><jats:p>The question of how generative AI tools, such as large language models and chatbots, can be leveraged ethically and effectively in education is ongoing. Given the critical role that writing plays in learning and assessment within educational institutions, it is of growing importance for educators to make thoughtful and informed decisions as to how and in what capacity generative AI tools should be leveraged to assist in the development of students’ writing skills. This paper reports on two longitudinal studies. Study 1 examined learning outcomes of 48 university English as a new language (ENL) learners in a six-week long repeated measures quasi experimental design where the experimental group received writing feedback generated from ChatGPT (GPT-4) and the control group received feedback from their human tutor. Study 2 analyzed the perceptions of a different group of 43 ENLs who received feedback from both ChatGPT and their tutor. Results of study 1 showed no difference in learning outcomes between the two groups. Study 2 results revealed a near even split in preference for AI-generated or human-generated feedback, with clear advantages to both forms of feedback apparent from the data. The main implication of these studies is that the use of AI-generated feedback can likely be incorporated into ENL essay evaluation without affecting learning outcomes, although we recommend a blended approach that utilizes the strengths of both forms of feedback. The main contribution of this paper is in addressing generative AI as an automatic essay evaluator while incorporating learner perspectives.</jats:p>"
Large Language Models,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_5,10.1007/978-1-4842-9367-6_5,Tom Taulli,Chapter,No abstract available for this DOI.
Automated Interactive Domain-Specific Conversational Agents that Understand Human Dialogs,2023,https://link.springer.com/chapter/10.1007/978-3-031-52038-9_13,10.1007/978-3-031-52038-9_13,"Yankai Zeng, Abhiramon Rajasekharan, ... Gopal Gupta",Conference paper,No abstract available for this DOI.
My Perspective,2024,https://link.springer.com/chapter/10.1007/978-3-031-53747-9_2,10.1007/978-3-031-53747-9_2,Carlo Lipizzi,Chapter,No abstract available for this DOI.
Large language models as an “operating” system for software and systems modeling,16 September 2023,/article/10.1007/s10270-023-01126-0,10.1007/s10270-023-01126-0,"Benoit Combemale, Jeff Gray, Bernhard Rumpe",Article,No abstract available for this DOI.
Developments in Artificial Intelligence and Linguistics,2024,https://link.springer.com/chapter/10.1007/978-3-031-51004-5_2,10.1007/978-3-031-51004-5_2,Robert Ciesla,Chapter,No abstract available for this DOI.
Generating Creativity from Negativity,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9579-3_1,10.1007/978-1-4842-9579-3_1,Patrick Parra Pennefather,Chapter,No abstract available for this DOI.
Prof Pi: Using Whatsapp Bots and GPT-4 for Tutoring Mathematics in Underserved Areas,2024,https://link.springer.com/chapter/10.1007/978-3-031-51849-2_19,10.1007/978-3-031-51849-2_19,"Laurie Butgereit, Herman Martinus",Conference paper,No abstract available for this DOI.
Exploratory study on the potential of ChatGPT as a rater of second language writing,13 June 2024,/article/10.1007/s10639-024-12817-6,10.1007/s10639-024-12817-6,"Dongkwang Shin, Jang Ho Lee",Article,No abstract available for this DOI.
Prof Pi: Using Whatsapp Bots and GPT-4 for Tutoring Mathematics in Underserved Areas,2024,https://link.springer.com/chapter/10.1007/978-3-031-51849-2_19,10.1007/978-3-031-51849-2_19,"Laurie Butgereit, Herman Martinus",Conference paper,No abstract available for this DOI.
KG-CTG: Citation Generation Through Knowledge Graph-Guided Large Language Models,2023,https://link.springer.com/chapter/10.1007/978-3-031-49601-1_3,10.1007/978-3-031-49601-1_3,"Avinash Anand, Mohit Gupta, ... Rajiv Ratn Shah",Conference paper,No abstract available for this DOI.
"Influence of Artificial Intelligence in Higher Education; Impact, Risk and Counter Measure",2023,https://link.springer.com/chapter/10.1007/978-3-031-33627-0_7,10.1007/978-3-031-33627-0_7,"Musarrat Saberin Nipun, Md.Simul Hasan Talukder, ... Rejwan Bin Sulaiman",Chapter,No abstract available for this DOI.
PapagAI: Automated Feedback for Reflective Essays,2023,https://link.springer.com/chapter/10.1007/978-3-031-42608-7_16,10.1007/978-3-031-42608-7_16,"Veronika Solopova, Eiad Rostom, ... Tim Landgraf",Conference paper,No abstract available for this DOI.
The ethics of using artificial intelligence in scientific research: new guidance needed for a new tool,27 May 2024,/article/10.1007/s43681-024-00493-8,10.1007/s43681-024-00493-8,"David B. Resnik, Mohammad Hosseini",Article,"<jats:title>Abstract</jats:title><jats:p>Using artificial intelligence (AI) in research offers many important benefits for science and society but also creates novel and complex ethical issues. While these ethical issues do not necessitate changing established ethical norms of science, they require the scientific community to develop new guidance for the appropriate use of AI. In this article, we briefly introduce AI and explain how it can be used in research, examine some of the ethical issues raised when using it, and offer nine recommendations for responsible use, including: (1) Researchers are responsible for identifying, describing, reducing, and controlling AI-related biases and random errors; (2) Researchers should disclose, describe, and explain their use of AI in research, including its limitations, in language that can be understood by non-experts; (3) Researchers should engage with impacted communities, populations, and other stakeholders concerning the use of AI in research to obtain their advice and assistance and address their interests and concerns, such as issues related to bias; (4) Researchers who use synthetic data should (a) indicate which parts of the data are synthetic; (b) clearly label the synthetic data; (c) describe how the data were generated; and (d) explain how and why the data were used; (5) AI systems should not be named as authors, inventors, or copyright holders but their contributions to research should be disclosed and described; (6) Education and mentoring in responsible conduct of research should include discussion of ethical use of AI.</jats:p>"
The Impact on Major Industries,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_8,10.1007/978-1-4842-9367-6_8,Tom Taulli,Chapter,No abstract available for this DOI.
"“The ChatGPT bot is causing panic now – but it’ll soon be as mundane a tool as Excel”: analysing topics, sentiment and emotions relating to ChatGPT on Twitter",21 May 2024,/article/10.1007/s00779-024-01811-x,10.1007/s00779-024-01811-x,"Dan Heaton, Jeremie Clos, ... Joel E. Fischer",Article,"<jats:title>Abstract</jats:title><jats:p>ChatGPT, a sophisticated chatbot system by OpenAI, gained significant attention and adoption in 2022 and 2023. By generating human-like conversations, it attracted over 100 million monthly users; however, there are concerns about the social impact of ChatGPT, including panic, misinformation and ethics. Twitter has become a platform for expressing views on ChatGPT and popular NLP approaches like topic modelling, sentiment analysis and emotion detection are commonly used to study public discourses on Twitter. While these approaches have limitations, an analytical process of existing best practices captures the evolving nature of these views. Previous studies have examined early reactions and topics associated with ChatGPT on Twitter but have not fully explored the combination of topics, sentiment and emotions, nor have they explicitly followed existing best practices. This study provides an overview of the views expressed on Twitter about ChatGPT by analysing 88,058 tweets from November 2022 to March 2023 to see if panic and concern were replicated in Twitter discourses. The topics covered human-like text generation, chatbot development, writing assistance, data training, efficiency, impact on business and cryptocurrency. Overall, the sentiment was predominantly positive, indicating that concerns surrounding ChatGPT were not widely replicated. However, sentiment fluctuated, with a decline observed around the launch of ChatGPT Plus. The discourse saw consistent patterns of trust and fear, with trust maintaining a steady presence until a decline potentially influenced by concerns about biases and misinformation. We discuss how our findings build upon existing research regarding ChatGPT by providing trajectories of topics, sentiment and emotions.</jats:p>"
Comparative Quality Analysis of GPT-Based Multiple Choice Question Generation,2024,https://link.springer.com/chapter/10.1007/978-3-031-46813-1_29,10.1007/978-3-031-46813-1_29,Christian Grévisse,Conference paper,No abstract available for this DOI.
